work_code,work_name,scope_class,work_group_scope,present_in_left,present_in_right,units_total_left,units_total_right,units_structurally_aligned,units_left_only,units_right_only,units_r0_eligible,units_r1_eligible,units_r2_eligible,units_r0_missing_vector,units_r1_missing_vector,units_r2_missing_vector
1ESD,1Esdras,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,448,0,0,448,0,0,0,0,0,0,0
1MACC,1Maccabees,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,924,0,0,924,0,0,0,0,0,0,0
2ESD,2Esdras,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,874,0,0,874,0,0,0,0,0,0,0
2MACC,2Maccabees,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,555,0,0,555,0,0,0,0,0,0,0
ADDESTH,AdditionstoEsther,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,105,0,0,105,0,0,0,0,0,0,0
BAR,Baruch,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,140,0,0,140,0,0,0,0,0,0,0
BEL,BelandtheDragon,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,42,0,0,42,0,0,0,0,0,0,0
JDT,Judith,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,339,0,0,339,0,0,0,0,0,0,0
LJE,LetterofJeremiah,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,73,0,0,73,0,0,0,0,0,0,0
PRAZAR,PrayerofAzariah,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,67,0,0,67,0,0,0,0,0,0,0
PRMAN,PrayerofManasseh,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,1,0,0,1,0,0,0,0,0,0,0
SIR,Ecclesiasticus,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,1393,0,0,1393,0,0,0,0,0,0,0
SUS,Susanna,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,64,0,0,64,0,0,0,0,0,0,0
