work_code,work_name,work_group,work_order_left,work_order_right,chapter_count_left,chapter_count_right,present_in_left,present_in_right,scope_class,work_group_scope,shared_work_flag,exclusive_left_flag
GEN,Genesis,OT,1,1.0,50,50.0,True,True,SHARED,OT_SHARED,True,False
EXO,Exodus,OT,2,2.0,40,40.0,True,True,SHARED,OT_SHARED,True,False
LEV,Leviticus,OT,3,3.0,27,27.0,True,True,SHARED,OT_SHARED,True,False
NUM,Numbers,OT,4,4.0,36,36.0,True,True,SHARED,OT_SHARED,True,False
DEU,Deuteronomy,OT,5,5.0,34,34.0,True,True,SHARED,OT_SHARED,True,False
JOS,Joshua,OT,6,6.0,24,24.0,True,True,SHARED,OT_SHARED,True,False
JDG,Judges,OT,7,7.0,21,21.0,True,True,SHARED,OT_SHARED,True,False
RUT,Ruth,OT,8,8.0,4,4.0,True,True,SHARED,OT_SHARED,True,False
1SA,1Samuel,OT,9,9.0,31,31.0,True,True,SHARED,OT_SHARED,True,False
2SA,2Samuel,OT,10,10.0,24,24.0,True,True,SHARED,OT_SHARED,True,False
1KI,1Kings,OT,11,11.0,22,22.0,True,True,SHARED,OT_SHARED,True,False
2KI,2Kings,OT,12,12.0,25,25.0,True,True,SHARED,OT_SHARED,True,False
1CH,1Chronicles,OT,13,13.0,29,29.0,True,True,SHARED,OT_SHARED,True,False
2CH,2Chronicles,OT,14,14.0,36,36.0,True,True,SHARED,OT_SHARED,True,False
EZR,Ezra,OT,15,15.0,10,10.0,True,True,SHARED,OT_SHARED,True,False
NEH,Nehemiah,OT,16,16.0,13,13.0,True,True,SHARED,OT_SHARED,True,False
EST,Esther,OT,17,17.0,10,10.0,True,True,SHARED,OT_SHARED,True,False
JOB,Job,OT,18,18.0,42,42.0,True,True,SHARED,OT_SHARED,True,False
PSA,Psalms,OT,19,19.0,150,150.0,True,True,SHARED,OT_SHARED,True,False
PRO,Proverbs,OT,20,20.0,31,31.0,True,True,SHARED,OT_SHARED,True,False
ECC,Ecclesiastes,OT,21,21.0,12,12.0,True,True,SHARED,OT_SHARED,True,False
SNG,SongofSolomon,OT,22,22.0,8,8.0,True,True,SHARED,OT_SHARED,True,False
ISA,Isaiah,OT,23,23.0,66,66.0,True,True,SHARED,OT_SHARED,True,False
JER,Jeremiah,OT,24,24.0,52,52.0,True,True,SHARED,OT_SHARED,True,False
LAM,Lamentations,OT,25,25.0,5,5.0,True,True,SHARED,OT_SHARED,True,False
EZE,Ezekiel,OT,26,26.0,48,48.0,True,True,SHARED,OT_SHARED,True,False
DAN,Daniel,OT,27,27.0,12,12.0,True,True,SHARED,OT_SHARED,True,False
HOS,Hosea,OT,28,28.0,14,14.0,True,True,SHARED,OT_SHARED,True,False
JOE,Joel,OT,29,29.0,3,3.0,True,True,SHARED,OT_SHARED,True,False
AMO,Amos,OT,30,30.0,9,9.0,True,True,SHARED,OT_SHARED,True,False
OBA,Obadiah,OT,31,31.0,1,1.0,True,True,SHARED,OT_SHARED,True,False
