scope_type,scope_name,representation_left,representation_right,n_matched,median_delta,p95_delta,share_delta_positive,share_delta_near_zero
CANON,ALL_SHARED,R0,R1,31102,0.0,0.0,0.0,1.0
WORK_GROUP,OT_SHARED,R0,R1,23145,0.0,0.0,0.0,1.0
WORK_GROUP,NT_SHARED,R0,R1,7957,0.0,0.0,0.0,1.0
CANON,EXCLUSIVE_LEFT,R0,R1,0,,,,
WORK,1CH,R0,R1,942,0.0,0.0,0.0,1.0
WORK,1CO,R0,R1,437,0.0,0.0,0.0,1.0
WORK,1JN,R0,R1,105,0.0,0.0,0.0,1.0
WORK,1KI,R0,R1,816,0.0,0.0,0.0,1.0
WORK,1PE,R0,R1,105,0.0,0.0,0.0,1.0
WORK,1SA,R0,R1,810,0.0,0.0,0.0,1.0
WORK,1TH,R0,R1,89,0.0,0.0,0.0,1.0
WORK,1TI,R0,R1,113,0.0,0.0,0.0,1.0
WORK,2CH,R0,R1,822,0.0,0.0,0.0,1.0
WORK,2CO,R0,R1,257,0.0,0.0,0.0,1.0
WORK,2JN,R0,R1,13,0.0,0.0,0.0,1.0
WORK,2KI,R0,R1,719,0.0,0.0,0.0,1.0
WORK,2PE,R0,R1,61,0.0,0.0,0.0,1.0
WORK,2SA,R0,R1,695,0.0,0.0,0.0,1.0
WORK,2TH,R0,R1,47,0.0,0.0,0.0,1.0
WORK,2TI,R0,R1,83,0.0,0.0,0.0,1.0
WORK,3JN,R0,R1,14,0.0,0.0,0.0,1.0
WORK,ACT,R0,R1,1007,0.0,0.0,0.0,1.0
WORK,AMO,R0,R1,146,0.0,0.0,0.0,1.0
WORK,COL,R0,R1,95,0.0,0.0,0.0,1.0
WORK,DAN,R0,R1,357,0.0,0.0,0.0,1.0
WORK,DEU,R0,R1,959,0.0,0.0,0.0,1.0
WORK,ECC,R0,R1,222,0.0,0.0,0.0,1.0
WORK,EPH,R0,R1,155,0.0,0.0,0.0,1.0
WORK,EST,R0,R1,167,0.0,0.0,0.0,1.0
WORK,EXO,R0,R1,1213,0.0,0.0,0.0,1.0
WORK,EZE,R0,R1,1273,0.0,0.0,0.0,1.0
WORK,EZR,R0,R1,280,0.0,0.0,0.0,1.0
WORK,GAL,R0,R1,149,0.0,0.0,0.0,1.0
WORK,GEN,R0,R1,1533,0.0,0.0,0.0,1.0
WORK,HAB,R0,R1,56,0.0,0.0,0.0,1.0
WORK,HAG,R0,R1,38,0.0,0.0,0.0,1.0
WORK,HEB,R0,R1,303,0.0,0.0,0.0,1.0
WORK,HOS,R0,R1,197,0.0,0.0,0.0,1.0
WORK,ISA,R0,R1,1292,0.0,0.0,0.0,1.0
WORK,JAS,R0,R1,108,0.0,0.0,0.0,1.0
WORK,JDG,R0,R1,618,0.0,0.0,0.0,1.0
WORK,JER,R0,R1,1364,0.0,0.0,0.0,1.0
WORK,JHN,R0,R1,879,0.0,0.0,0.0,1.0
WORK,JOB,R0,R1,1070,0.0,0.0,0.0,1.0
WORK,JOE,R0,R1,73,0.0,0.0,0.0,1.0
WORK,JON,R0,R1,48,0.0,0.0,0.0,1.0
WORK,JOS,R0,R1,658,0.0,0.0,0.0,1.0
WORK,JUD,R0,R1,25,0.0,0.0,0.0,1.0
WORK,LAM,R0,R1,154,0.0,0.0,0.0,1.0
WORK,LEV,R0,R1,859,0.0,0.0,0.0,1.0
WORK,LUK,R0,R1,1151,0.0,0.0,0.0,1.0
WORK,MAL,R0,R1,55,0.0,0.0,0.0,1.0
WORK,MAT,R0,R1,1071,0.0,0.0,0.0,1.0
WORK,MIC,R0,R1,105,0.0,0.0,0.0,1.0
WORK,MRK,R0,R1,678,0.0,0.0,0.0,1.0
WORK,NAH,R0,R1,47,0.0,0.0,0.0,1.0
WORK,NEH,R0,R1,406,0.0,0.0,0.0,1.0
WORK,NUM,R0,R1,1288,0.0,0.0,0.0,1.0
WORK,OBA,R0,R1,21,0.0,0.0,0.0,1.0
WORK,PHM,R0,R1,25,0.0,0.0,0.0,1.0
WORK,PHP,R0,R1,104,0.0,0.0,0.0,1.0
WORK,PRO,R0,R1,915,0.0,0.0,0.0,1.0
WORK,PSA,R0,R1,2461,0.0,0.0,0.0,1.0
WORK,REV,R0,R1,404,0.0,0.0,0.0,1.0
WORK,ROM,R0,R1,433,0.0,0.0,0.0,1.0
WORK,RUT,R0,R1,85,0.0,0.0,0.0,1.0
WORK,SNG,R0,R1,117,0.0,0.0,0.0,1.0
WORK,TIT,R0,R1,46,0.0,0.0,0.0,1.0
WORK,ZEC,R0,R1,211,0.0,0.0,0.0,1.0
WORK,ZEP,R0,R1,53,0.0,0.0,0.0,1.0
