work_group_scope,work_code,work_name,units_total,chapters_total,first_unit_key,last_unit_key,left_canon_id,right_canon_id,comparison_name,notes
EXCLUSIVE_LEFT,1ESD,1Esdras,448,9,1ESD:1:1,1ESD:9:55,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,1MACC,1Maccabees,924,16,1MACC:1:1,1MACC:16:24,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,2ESD,2Esdras,874,16,2ESD:1:1,2ESD:16:78,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,2MACC,2Maccabees,555,15,2MACC:1:1,2MACC:15:39,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,ADDESTH,AdditionstoEsther,105,7,ADDESTH:10:4,ADDESTH:16:24,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,BAR,Baruch,140,5,BAR:1:1,BAR:5:9,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,BEL,BelandtheDragon,42,1,BEL:1:1,BEL:1:42,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,JDT,Judith,339,16,JDT:1:1,JDT:16:25,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,LJE,LetterofJeremiah,73,1,LJE:1:1,LJE:1:73,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,PRAZAR,PrayerofAzariah,67,1,PRAZAR:1:1,PRAZAR:1:67,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,PRMAN,PrayerofManasseh,1,1,PRMAN:1:1,PRMAN:1:1,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,SIR,Ecclesiasticus,1393,51,SIR:1:1,SIR:51:30,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,SUS,Susanna,64,1,SUS:1:1,SUS:1:64,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,TOB,Tobit,244,14,TOB:1:1,TOB:14:15,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
EXCLUSIVE_LEFT,WISD,WisdomofSolomon,436,19,WISD:1:1,WISD:19:22,KJV-1611,KJV-1769,kjv1611_vs_kjv1769,Left exclusive canon inventory only; excluded from aligned drift testing and reserved for separate nearest neighbor study.
