annotation_set,unit_key,work_code,work_name,representation,classification,drift_value,drift_quantile_bin,text_raw_left,text_raw_right,text_norm_left,text_norm_right,drift_r0,drift_r1,drift_r2,delta_representation_left,delta_representation_right,delta_value,category_labels
FLAGGED,1CH:11:14,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.253844518,,"And they set themselues in the middest of that parcell, and deliuered it, and slue the Philistines, & the Lord saued them by a great deliuerance.","And they set themselves in the midst of that parcel, and delivered it, and slew the Philistines; and the LORD saved them by a great deliverance.","and they set themselues in the middest of that parcell, and deliuered it, and slue the philistines, & the lord saued them by a great deliuerance.","and they set themselves in the midst of that parcel, and delivered it, and slew the philistines; and the lord saved them by a great deliverance.",0.253844518,0.253844518,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:11:4,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.250973246,,"¶ And Dauid & all Israel, went to Ierusalem, which is Iebus, where the Iebusites were the inhabitants of the land.","And David and all Israel went to Jerusalem, which is Jebus; where the Jebusites were, the inhabitants of the land.","¶ and dauid & all israel, went to ierusalem, which is iebus, where the iebusites were the inhabitants of the land.","and david and all israel went to jerusalem, which is jebus; where the jebusites were, the inhabitants of the land.",0.250973246,0.250973246,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:11:7,1CH,1Chronicles,R0,STRONG_OUTLIER,0.305748066,,And Dauid dwelt in the castell: therefore they called it the citie of Dauid.,And David dwelt in the castle; therefore they called it the city of David.,and dauid dwelt in the castell: therefore they called it the citie of dauid.,and david dwelt in the castle; therefore they called it the city of david.,0.305748066,0.305748066,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:11:9,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.238623037,,So Dauid waxed greater and greater: for the Lord of hostes was with him.,So David waxed greater and greater: for the LORD of hosts was with him.,so dauid waxed greater and greater: for the lord of hostes was with him.,so david waxed greater and greater: for the lord of hosts was with him.,0.238623037,0.238623037,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:12:15,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.211422552,,"These are they that went ouer Iorden in the first moneth, when it had ouerflowen all his bankes, and they put to flight all them of the valleis, both toward the East, and toward the West.","These are they that went over Jordan in the first month, when it had overflown all his banks; and they put to flight all them of the valleys, both toward the east, and toward the west.","these are they that went ouer iorden in the first moneth, when it had ouerflowen all his bankes, and they put to flight all them of the valleis, both toward the east, and toward the west.","these are they that went over jordan in the first month, when it had overflown all his banks; and they put to flight all them of the valleys, both toward the east, and toward the west.",0.211422552,0.211422552,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:12:16,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.207163111,,"And there came of the children of Beniamin, and Iudah, to the hold vnto Dauid.",And there came of the children of Benjamin and Judah to the hold unto David.,"and there came of the children of beniamin, and iudah, to the hold vnto dauid.",and there came of the children of benjamin and judah to the hold unto david.,0.207163111,0.207163111,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:12:36,1CH,1Chronicles,R0,STRONG_OUTLIER,0.322463228,,"And of Asher, such as went foorth to battell, expert in warre, fourtie thousand.","And of Asher, such as went forth to battle, expert in war, forty thousand.","and of asher, such as went foorth to battell, expert in warre, fourtie thousand.","and of asher, such as went forth to battle, expert in war, forty thousand.",0.322463228,0.322463228,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:13:1,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.205831651,,"And Dauid consulted with the captaines of thousands, and hundreds, and with euery leader.","And David consulted with the captains of thousands and hundreds, and with every leader.","and dauid consulted with the captaines of thousands, and hundreds, and with euery leader.","and david consulted with the captains of thousands and hundreds, and with every leader.",0.205831651,0.205831651,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:13:3,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.201000678,,And let vs bring againe the Arke of our God to vs: for wee enquired not at it in the dayes of Saul.,And let us bring again the ark of our God to us: for we enquired not at it in the days of Saul.,and let vs bring againe the arke of our god to vs: for wee enquired not at it in the dayes of saul.,and let us bring again the ark of our god to us: for we enquired not at it in the days of saul.,0.201000678,0.201000678,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:14:3,1CH,1Chronicles,R0,STRONG_OUTLIER,0.40184646,,¶ And Dauid tooke moe wiues at Ierusalem: and Dauid begate moe sonnes and daughters.,And David took more wives at Jerusalem: and David begat more sons and daughters.,¶ and dauid tooke moe wiues at ierusalem: and dauid begate moe sonnes and daughters.,and david took more wives at jerusalem: and david begat more sons and daughters.,0.40184646,0.40184646,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:15:2,1CH,1Chronicles,R0,STRONG_OUTLIER,0.25867652,,"Then Dauid sayd, None ought to carie the Arke of God, but the Leuites: for them hath the Lord chosen to cary the Arke of God, and to minister vnto him for euer.","Then David said, None ought to carry the ark of God but the Levites: for them hath the LORD chosen to carry the ark of God, and to minister unto him for ever.","then dauid sayd, none ought to carie the arke of god, but the leuites: for them hath the lord chosen to cary the arke of god, and to minister vnto him for euer.","then david said, none ought to carry the ark of god but the levites: for them hath the lord chosen to carry the ark of god, and to minister unto him for ever.",0.25867652,0.25867652,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:15:4,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.239442755,,"And Dauid assembled the children of Aaron, and the Leuites.","And David assembled the children of Aaron, and the Levites:","and dauid assembled the children of aaron, and the leuites.","and david assembled the children of aaron, and the levites:",0.239442755,0.239442755,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:16:17,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.223242884,,"And hath confirmed the same to Iacob for a lawe, and to Israel for an euerlasting Couenant,","And hath confirmed the same to Jacob for a law, and to Israel for an everlasting covenant,","and hath confirmed the same to iacob for a lawe, and to israel for an euerlasting couenant,","and hath confirmed the same to jacob for a law, and to israel for an everlasting covenant,",0.223242884,0.223242884,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:17:18,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.198085239,,What can Dauid speake more to thee for the honour of thy seruant? for thou knowest thy seruant.,What can David speak more to thee for the honour of thy servant? for thou knowest thy servant.,what can dauid speake more to thee for the honour of thy seruant? for thou knowest thy seruant.,what can david speak more to thee for the honour of thy servant? for thou knowest thy servant.,0.198085239,0.198085239,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:18:14,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.232640764,,"¶ So Dauid reigned ouer all Israel, and executed iudgement and iustice among all his people.","So David reigned over all Israel, and executed judgment and justice among all his people.","¶ so dauid reigned ouer all israel, and executed iudgement and iustice among all his people.","so david reigned over all israel, and executed judgment and justice among all his people.",0.232640764,0.232640764,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:18:4,1CH,1Chronicles,R0,STRONG_OUTLIER,0.272422377,,"And Dauid tooke from him a thousand charets, and seuen thousand horsemen, and twentie thousand footmen: Dauid also houghed all the charet horses, but reserued of them an hundred charets.","And David took from him a thousand chariots, and seven thousand horsemen, and twenty thousand footmen: David also houghed all the chariot horses, but reserved of them an hundred chariots.","and dauid tooke from him a thousand charets, and seuen thousand horsemen, and twentie thousand footmen: dauid also houghed all the charet horses, but reserued of them an hundred charets.","and david took from him a thousand chariots, and seven thousand horsemen, and twenty thousand footmen: david also houghed all the chariot horses, but reserved of them an hundred chariots.",0.272422377,0.272422377,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:18:6,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.235159858,,"Then Dauid put garisons in Syria Damascus, and the Syrians became Dauids seruants, and brought giftes. Thus the Lord preserued Dauid, whithersoeuer he went.","Then David put garrisons in Syriadamascus; and the Syrians became David’s servants, and brought gifts. Thus the LORD preserved David whithersoever he went.","then dauid put garisons in syria damascus, and the syrians became dauids seruants, and brought giftes. thus the lord preserued dauid, whithersoeuer he went.","then david put garrisons in syriadamascus; and the syrians became david’s servants, and brought gifts. thus the lord preserved david whithersoever he went.",0.235159858,0.235159858,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:18:7,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.222983823,,"And Dauid tooke the shields of golde that were on the seruants of Hadarezer, & brought them to Ierusalem.","And David took the shields of gold that were on the servants of Hadarezer, and brought them to Jerusalem.","and dauid tooke the shields of golde that were on the seruants of hadarezer, & brought them to ierusalem.","and david took the shields of gold that were on the servants of hadarezer, and brought them to jerusalem.",0.222983823,0.222983823,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:19:8,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.254324893,,"And when Dauid heard of it, hee sent Ioab, and all the host of the mightie men.","And when David heard of it, he sent Joab, and all the host of the mighty men.","and when dauid heard of it, hee sent ioab, and all the host of the mightie men.","and when david heard of it, he sent joab, and all the host of the mighty men.",0.254324893,0.254324893,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:21:9,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.195882278,,"¶ And the Lord spake vnto Gad, Dauids Seer, saying,","And the LORD spake unto Gad, David’s seer, saying,","¶ and the lord spake vnto gad, dauids seer, saying,","and the lord spake unto gad, david’s seer, saying,",0.195882278,0.195882278,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:23:27,1CH,1Chronicles,R0,STRONG_OUTLIER,0.411999484,,"For by the last words of Dauid, the Leuites were numbred from twentie yeeres olde, and aboue:",For by the last words of David the Levites were numbered from twenty years old and above:,"for by the last words of dauid, the leuites were numbred from twentie yeeres olde, and aboue:",for by the last words of david the levites were numbered from twenty years old and above:,0.411999484,0.411999484,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:23:3,1CH,1Chronicles,R0,STRONG_OUTLIER,0.29900252,,"Now the Leuites were numbred from the age of thirtie yeeres and vpward: and their number, by their polles, man by man, was thirtie and eight thousand.","Now the Levites were numbered from the age of thirty years and upward: and their number by their polls, man by man, was thirty and eight thousand.","now the leuites were numbred from the age of thirtie yeeres and vpward: and their number, by their polles, man by man, was thirtie and eight thousand.","now the levites were numbered from the age of thirty years and upward: and their number by their polls, man by man, was thirty and eight thousand.",0.29900252,0.29900252,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:23:6,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.223465082,,"And Dauid diuided them into courses among the sonnes of Leui, namely Gershon, Kohath, and Merari.","And David divided them into courses among the sons of Levi, namely, Gershon, Kohath, and Merari.","and dauid diuided them into courses among the sonnes of leui, namely gershon, kohath, and merari.","and david divided them into courses among the sons of levi, namely, gershon, kohath, and merari.",0.223465082,0.223465082,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:25:14,1CH,1Chronicles,R0,STRONG_OUTLIER,0.258663052,,"The seuenth to Iesharelah, hee, his sonnes & his brethren were twelue:","The seventh to Jesharelah, he, his sons, and his brethren, were twelve:","the seuenth to iesharelah, hee, his sonnes & his brethren were twelue:","the seventh to jesharelah, he, his sons, and his brethren, were twelve:",0.258663052,0.258663052,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:25:18,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.219240558,,"The eleuenth to Azareel, hee, his sonnes and his brethren were twelue:","The eleventh to Azareel, he, his sons, and his brethren, were twelve:","the eleuenth to azareel, hee, his sonnes and his brethren were twelue:","the eleventh to azareel, he, his sons, and his brethren, were twelve:",0.219240558,0.219240558,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:25:22,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.199497902,,"The fifteenth to Ierimoth, hee, his sonnes & his brethren, were twelue:","The fifteenth to Jeremoth, he, his sons, and his brethren, were twelve:","the fifteenth to ierimoth, hee, his sonnes & his brethren, were twelue:","the fifteenth to jeremoth, he, his sons, and his brethren, were twelve:",0.199497902,0.199497902,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:25:24,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.23135592,,"The seuenteenth to Ioshbekashah, he, his sonnes and his brethren, were twelue:","The seventeenth to Joshbekashah, he, his sons, and his brethren, were twelve:","the seuenteenth to ioshbekashah, he, his sonnes and his brethren, were twelue:","the seventeenth to joshbekashah, he, his sons, and his brethren, were twelve:",0.23135592,0.23135592,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:25:25,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.211161257,,"The eighteenth to Hanani: hee, his sonnes & his brethren, were twelue:","The eighteenth to Hanani, he, his sons, and his brethren, were twelve:","the eighteenth to hanani: hee, his sonnes & his brethren, were twelue:","the eighteenth to hanani, he, his sons, and his brethren, were twelve:",0.211161257,0.211161257,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:25:31,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.23328548,,"The foure and twentieth to Romamti-Ezer, he, his sonnes and his brethren, were twelue.","The four and twentieth to Romamtiezer, he, his sons, and his brethren, were twelve.","the foure and twentieth to romamti-ezer, he, his sonnes and his brethren, were twelue.","the four and twentieth to romamtiezer, he, his sons, and his brethren, were twelve.",0.23328548,0.23328548,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:27:2,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.198591086,,"Ouer the first course for the first moneth was Iashobeam the sonne of Zabdiel, and in his course were twentie and foure thousand.",Over the first course for the first month was Jashobeam the son of Zabdiel: and in his course were twenty and four thousand.,"ouer the first course for the first moneth was iashobeam the sonne of zabdiel, and in his course were twentie and foure thousand.",over the first course for the first month was jashobeam the son of zabdiel: and in his course were twenty and four thousand.,0.198591086,0.198591086,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:27:28,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.227699801,,"And ouer the Oliue trees, and the Sycomore trees that were in the lowe plaines, was Baal-hanan the Gederite: and ouer the cellars of oyle was Ioash.",And over the olive trees and the sycomore trees that were in the low plains was Baalhanan the Gederite: and over the cellars of oil was Joash:,"and ouer the oliue trees, and the sycomore trees that were in the lowe plaines, was baal-hanan the gederite: and ouer the cellars of oyle was ioash.",and over the olive trees and the sycomore trees that were in the low plains was baalhanan the gederite: and over the cellars of oil was joash:,0.227699801,0.227699801,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:27:31,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.203348471,,"And ouer the flockes, was Iaziz the Hagerite. All these were the rulers of the substance which was king Dauids.",And over the flocks was Jaziz the Hagerite. All these were the rulers of the substance which was king David’s.,"and ouer the flockes, was iaziz the hagerite. all these were the rulers of the substance which was king dauids.",and over the flocks was jaziz the hagerite. all these were the rulers of the substance which was king david’s.,0.203348471,0.203348471,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:27:32,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.215031081,,"Also Ionathan Dauids uncle, was a counseller, a wise man, and a Scribe: and Iehiel the sonne of Hachmoni, was with the kings sonnes.","Also Jonathan David’s uncle was a counsellor, a wise man, and a scribe: and Jehiel the son of Hachmoni was with the king’s sons:","also ionathan dauids uncle, was a counseller, a wise man, and a scribe: and iehiel the sonne of hachmoni, was with the kings sonnes.","also jonathan david’s uncle was a counsellor, a wise man, and a scribe: and jehiel the son of hachmoni was with the king’s sons:",0.215031081,0.215031081,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:28:14,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.217292404,,"Hee gaue of golde by weight, for things of golde, for all instruments of all manner of seruice: siluer also for all instruments of siluer, by weight, for all instruments of euery kinde of seruice:","He gave of gold by weight for things of gold, for all instruments of all manner of service; silver also for all instruments of silver by weight, for all instruments of every kind of service:","hee gaue of golde by weight, for things of golde, for all instruments of all manner of seruice: siluer also for all instruments of siluer, by weight, for all instruments of euery kinde of seruice:","he gave of gold by weight for things of gold, for all instruments of all manner of service; silver also for all instruments of silver by weight, for all instruments of every kind of service:",0.217292404,0.217292404,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:29:26,1CH,1Chronicles,R0,STRONG_OUTLIER,0.287030246,,"¶ Thus Dauid the sonne of Iesse, reigned ouer all Israel.",Thus David the son of Jesse reigned over all Israel.,"¶ thus dauid the sonne of iesse, reigned ouer all israel.",thus david the son of jesse reigned over all israel.,0.287030246,0.287030246,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:2:15,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.212763974,,"Ozem the sixth, Dauid the seuenth:","Ozem the sixth, David the seventh:","ozem the sixth, dauid the seuenth:","ozem the sixth, david the seventh:",0.212763974,0.212763974,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:2:33,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.216044094,,"And the sonnes of Ionathan, Peleth, and Zaza. These were the sonnes of Ierahmeel.","And the sons of Jonathan; Peleth, and Zaza. These were the sons of Jerahmeel.","and the sonnes of ionathan, peleth, and zaza. these were the sonnes of ierahmeel.","and the sons of jonathan; peleth, and zaza. these were the sons of jerahmeel.",0.216044094,0.216044094,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:3:14,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.22674122,,Amon his sonne: Iosiah his sonne.,"Amon his son, Josiah his son.",amon his sonne: iosiah his sonne.,"amon his son, josiah his son.",0.22674122,0.22674122,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:3:15,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.213559725,,"And the sonnes of Iosiah were: the first borne Iohanan, the second Ioakim, the third Zedekiah, the fourth Sallum.","And the sons of Josiah were, the firstborn Johanan, the second Jehoiakim, the third Zedekiah, the fourth Shallum.","and the sonnes of iosiah were: the first borne iohanan, the second ioakim, the third zedekiah, the fourth sallum.","and the sons of josiah were, the firstborn johanan, the second jehoiakim, the third zedekiah, the fourth shallum.",0.213559725,0.213559725,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:3:9,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.231970024,,"These were all the sonnes of Dauid: beside the sonnes of the concubines, and Tamar their sister.","These were all the sons of David, beside the sons of the concubines, and Tamar their sister.","these were all the sonnes of dauid: beside the sonnes of the concubines, and tamar their sister.","these were all the sons of david, beside the sons of the concubines, and tamar their sister.",0.231970024,0.231970024,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:4:35,1CH,1Chronicles,R0,STRONG_OUTLIER,0.271408235,,"And Ioel, and Iehu the sonne of Iosibia, the sonne of Seraia, the sonne of Asiel,","And Joel, and Jehu the son of Josibiah, the son of Seraiah, the son of Asiel,","and ioel, and iehu the sonne of iosibia, the sonne of seraia, the sonne of asiel,","and joel, and jehu the son of josibiah, the son of seraiah, the son of asiel,",0.271408235,0.271408235,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:5:2,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.2189213,,"For Iudah preuailed aboue his brethren, and of him came the chiefe rulers, but the birthright was Iosephs.","For Judah prevailed above his brethren, and of him came the chief ruler; but the birthright was Joseph’s:)","for iudah preuailed aboue his brethren, and of him came the chiefe rulers, but the birthright was iosephs.","for judah prevailed above his brethren, and of him came the chief ruler; but the birthright was joseph’s:)",0.2189213,0.2189213,,R0,R1,0,orthographic_character_form|lexical_substitution
FLAGGED,1CH:6:15,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.196699375,,"And Iehozadak went into captiuitie, when the Lord caried away Iudah and Ierusalem by the hand of Nebuchad-nezzar.","And Jehozadak went into captivity, when the LORD carried away Judah and Jerusalem by the hand of Nebuchadnezzar.","and iehozadak went into captiuitie, when the lord caried away iudah and ierusalem by the hand of nebuchad-nezzar.","and jehozadak went into captivity, when the lord carried away judah and jerusalem by the hand of nebuchadnezzar.",0.196699375,0.196699375,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:6:40,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.208756728,,"The sonne of Michael, the sonne of Baasiah, the sonne of Melchiah,","The son of Michael, the son of Baaseiah, the son of Malchiah,","the sonne of michael, the sonne of baasiah, the sonne of melchiah,","the son of michael, the son of baaseiah, the son of malchiah,",0.208756728,0.208756728,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:6:43,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.240242522,,"The sonne of Iahath, the sonne of Gershom, the sonne of Leui.","The son of Jahath, the son of Gershom, the son of Levi.","the sonne of iahath, the sonne of gershom, the sonne of leui.","the son of jahath, the son of gershom, the son of levi.",0.240242522,0.240242522,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:6:47,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.21166653,,"The sonne of Mahli, the sonne of Mushi, the sonne of Merari, the sonne of Leui.","The son of Mahli, the son of Mushi, the son of Merari, the son of Levi.","the sonne of mahli, the sonne of mushi, the sonne of merari, the sonne of leui.","the son of mahli, the son of mushi, the son of merari, the son of levi.",0.21166653,0.21166653,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:7:6,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.215301996,,"¶ The sonnes of Beniamin: Bela, and Becher, and Iediael, three.","The sons of Benjamin; Bela, and Becher, and Jediael, three.","¶ the sonnes of beniamin: bela, and becher, and iediael, three.","the sons of benjamin; bela, and becher, and jediael, three.",0.215301996,0.215301996,,R0,R1,0,orthographic_character_form
FLAGGED,1CH:9:34,1CH,1Chronicles,R0,REVIEW_CANDIDATE,0.198114588,,"These chiefe fathers of the Leuites, were chiefe throughout their generations; these dwelt at Ierusalem.",These chief fathers of the Levites were chief throughout their generations; these dwelt at Jerusalem.,"these chiefe fathers of the leuites, were chiefe throughout their generations; these dwelt at ierusalem.",these chief fathers of the levites were chief throughout their generations; these dwelt at jerusalem.,0.198114588,0.198114588,,R0,R1,0,orthographic_character_form
FLAGGED,1CO:10:22,1CO,1Corinthians,R0,REVIEW_CANDIDATE,0.160442804,,Doe we prouoke the Lord to iealousie? are we stronger then he?,Do we provoke the Lord to jealousy? are we stronger than he?,doe we prouoke the lord to iealousie? are we stronger then he?,do we provoke the lord to jealousy? are we stronger than he?,0.160442804,0.160442804,,R0,R1,0,orthographic_character_form
FLAGGED,1CO:11:31,1CO,1Corinthians,R0,REVIEW_CANDIDATE,0.249635395,,"For if we would iudge our selues, we should not be iudged.","For if we would judge ourselves, we should not be judged.","for if we would iudge our selues, we should not be iudged.","for if we would judge ourselves, we should not be judged.",0.249635395,0.249635395,,R0,R1,0,orthographic_character_form
FLAGGED,1CO:11:6,1CO,1Corinthians,R0,REVIEW_CANDIDATE,0.172584837,,"For if the woman be not couered, let her also bee shorne: but if it bee a shame for a woman to be shorne or shauen, let her be couered.","For if the woman be not covered, let her also be shorn: but if it be a shame for a woman to be shorn or shaven, let her be covered.","for if the woman be not couered, let her also bee shorne: but if it bee a shame for a woman to be shorne or shauen, let her be couered.","for if the woman be not covered, let her also be shorn: but if it be a shame for a woman to be shorn or shaven, let her be covered.",0.172584837,0.172584837,,R0,R1,0,orthographic_character_form
