representation,outlier_set,category,count_flagged_with_category,count_flagged_total,count_background_with_category,count_background_total
R0,FLAGGED,orthographic_character_form,1597,1597,519,526
R0,FLAGGED,punctuation_clause_relation,229,1597,82,526
R0,FLAGGED,lexical_substitution,182,1597,83,526
R0,FLAGGED,function_word_change,2,1597,1,526
R0,FLAGGED,pronoun_shift,1,1597,0,526
R0,FLAGGED,negation_modality_change,0,1597,0,526
R0,FLAGGED,word_order_syntactic_shift,1,1597,0,526
R0,FLAGGED,addition_deletion,11,1597,1,526
R0,FLAGGED,multi_factor_complex,0,1597,0,526
R1,FLAGGED,orthographic_character_form,1597,1597,519,526
R1,FLAGGED,punctuation_clause_relation,270,1597,82,526
R1,FLAGGED,lexical_substitution,190,1597,83,526
R1,FLAGGED,function_word_change,1,1597,1,526
R1,FLAGGED,pronoun_shift,1,1597,0,526
R1,FLAGGED,negation_modality_change,0,1597,0,526
R1,FLAGGED,word_order_syntactic_shift,0,1597,0,526
R1,FLAGGED,addition_deletion,10,1597,1,526
R1,FLAGGED,multi_factor_complex,0,1597,0,526
