annotation_set,unit_key,work_code,work_name,representation,classification,drift_value,drift_quantile_bin,text_raw_left,text_raw_right,text_norm_left,text_norm_right,drift_r0,drift_r1,drift_r2,delta_representation_left,delta_representation_right,delta_value,category_labels
INLIER_BACKGROUND,1CH:1:30,1CH,1Chronicles,R0,INLIER,1.1102230246251563e-16,Q1,"Mishma, and Dumah, Massa, Hadad, and Tema,","Mishma, and Dumah, Massa, Hadad, and Tema,","mishma, and dumah, massa, hadad, and tema,","mishma, and dumah, massa, hadad, and tema,",1.1102230246251565e-16,1.1102230246251565e-16,,R0,R1,0.0,
INLIER_BACKGROUND,1CH:4:2,1CH,1Chronicles,R0,INLIER,0.0271942375299341,Q1,"And Reaiah, the son of Shobal, begate Iahath, and Iahath begate Ahumai, & Lahad. These are the families of the Zorathites.","And Reaiah the son of Shobal begat Jahath; and Jahath begat Ahumai, and Lahad. These are the families of the Zorathites.","and reaiah, the son of shobal, begate iahath, and iahath begate ahumai, & lahad. these are the families of the zorathites.","and reaiah the son of shobal begat jahath; and jahath begat ahumai, and lahad. these are the families of the zorathites.",0.027194237529934107,0.027194237529934107,,R0,R1,0.0,
INLIER_BACKGROUND,1CH:22:15,1CH,1Chronicles,R0,INLIER,0.0472322853554709,Q2,"Moreouer, there are workmen with thee in abundance, hewers, and workers of stone and timber, and all maner of cunning men for euery maner of worke:","Moreover there are workmen with thee in abundance, hewers and workers of stone and timber, and all manner of cunning men for every manner of work.","moreouer, there are workmen with thee in abundance, hewers, and workers of stone and timber, and all maner of cunning men for euery maner of worke:","moreover there are workmen with thee in abundance, hewers and workers of stone and timber, and all manner of cunning men for every manner of work.",0.04723228535547097,0.04723228535547097,,R0,R1,0.0,
INLIER_BACKGROUND,1CH:6:70,1CH,1Chronicles,R0,INLIER,0.0328970670709997,Q2,"And out of the halfe tribe of Manasseh, Aner with her suburbs, and Bileam with her suburbs, for the family of the remnant of the sonnes of Kohath.","And out of the half tribe of Manasseh; Aner with her suburbs, and Bileam with her suburbs, for the family of the remnant of the sons of Kohath.","and out of the halfe tribe of manasseh, aner with her suburbs, and bileam with her suburbs, for the family of the remnant of the sonnes of kohath.","and out of the half tribe of manasseh; aner with her suburbs, and bileam with her suburbs, for the family of the remnant of the sons of kohath.",0.03289706707099971,0.03289706707099971,,R0,R1,0.0,
INLIER_BACKGROUND,1CH:1:41,1CH,1Chronicles,R0,INLIER,0.0815202712160338,Q3,"The sonnes of Anah: Dishon. And the sonnes of Dishon: Amram, and Eshban, and Ithran, and Cheran.","The sons of Anah; Dishon. And the sons of Dishon; Amram, and Eshban, and Ithran, and Cheran.","the sonnes of anah: dishon. and the sonnes of dishon: amram, and eshban, and ithran, and cheran.","the sons of anah; dishon. and the sons of dishon; amram, and eshban, and ithran, and cheran.",0.08152027121603389,0.08152027121603389,,R0,R1,0.0,
INLIER_BACKGROUND,1CH:9:16,1CH,1Chronicles,R0,INLIER,0.0596568094103098,Q3,"And Obadiah the sonne of Shemaiah, the sonne of Galal, the sonne of Ieduthun: and Berechiah the sonne of Asa, the sonne of Elkanah, that dwelt in the villages of the Netophathites.","And Obadiah the son of Shemaiah, the son of Galal, the son of Jeduthun, and Berechiah the son of Asa, the son of Elkanah, that dwelt in the villages of the Netophathites.","and obadiah the sonne of shemaiah, the sonne of galal, the sonne of ieduthun: and berechiah the sonne of asa, the sonne of elkanah, that dwelt in the villages of the netophathites.","and obadiah the son of shemaiah, the son of galal, the son of jeduthun, and berechiah the son of asa, the son of elkanah, that dwelt in the villages of the netophathites.",0.05965680941030982,0.05965680941030982,,R0,R1,0.0,
INLIER_BACKGROUND,1CH:12:38,1CH,1Chronicles,R0,INLIER,0.095200522474815,Q4,"All these men of warre, that could keepe ranke, came with a perfect heart to Hebron, to make Dauid king ouer all Israel: and all the rest also of Israel, were of one heart to make Dauid king.","All these men of war, that could keep rank, came with a perfect heart to Hebron, to make David king over all Israel: and all the rest also of Israel were of one heart to make David king.","all these men of warre, that could keepe ranke, came with a perfect heart to hebron, to make dauid king ouer all israel: and all the rest also of israel, were of one heart to make dauid king.","all these men of war, that could keep rank, came with a perfect heart to hebron, to make david king over all israel: and all the rest also of israel were of one heart to make david king.",0.09520052247481503,0.09520052247481503,,R0,R1,0.0,
INLIER_BACKGROUND,1CH:6:45,1CH,1Chronicles,R0,INLIER,0.1443626674472219,Q4,"The sonne of Hashabiah, the sonne of Amaziah, the sonne of Hilkiah,","The son of Hashabiah, the son of Amaziah, the son of Hilkiah,","the sonne of hashabiah, the sonne of amaziah, the sonne of hilkiah,","the son of hashabiah, the son of amaziah, the son of hilkiah,",0.14436266744722193,0.14436266744722193,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:3:7,1CO,1Corinthians,R0,INLIER,0.0269402700027864,Q1,"So then, neither is he that planteth any thing, neither hee that watereth: but God that giueth the increase.","So then neither is he that planteth any thing, neither he that watereth; but God that giveth the increase.","so then, neither is he that planteth any thing, neither hee that watereth: but god that giueth the increase.","so then neither is he that planteth any thing, neither he that watereth; but god that giveth the increase.",0.026940270002786426,0.026940270002786426,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:4:11,1CO,1Corinthians,R0,INLIER,0.0300317332989069,Q1,"Euen vnto this present houre we both hunger and thirst, and are naked, and are buffeted, and haue no certaine dwelling place,","Even unto this present hour we both hunger, and thirst, and are naked, and are buffeted, and have no certain dwellingplace;","euen vnto this present houre we both hunger and thirst, and are naked, and are buffeted, and haue no certaine dwelling place,","even unto this present hour we both hunger, and thirst, and are naked, and are buffeted, and have no certain dwellingplace;",0.03003173329890696,0.03003173329890696,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:10:7,1CO,1Corinthians,R0,INLIER,0.0545899353255989,Q2,"Neither be ye idolaters, as were some of them, as it is written, The people sate downe to eate and drinke, and rose vp to play.","Neither be ye idolaters, as were some of them; as it is written, The people sat down to eat and drink, and rose up to play.","neither be ye idolaters, as were some of them, as it is written, the people sate downe to eate and drinke, and rose vp to play.","neither be ye idolaters, as were some of them; as it is written, the people sat down to eat and drink, and rose up to play.",0.05458993532559897,0.05458993532559897,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:4:13,1CO,1Corinthians,R0,INLIER,0.030797878071697,Q2,"Being defamed, we intreate: we are made as the filth of the world, and are the off-scouring of all things vnto this day.","Being defamed, we intreat: we are made as the filth of the world, and are the offscouring of all things unto this day.","being defamed, we intreate: we are made as the filth of the world, and are the off-scouring of all things vnto this day.","being defamed, we intreat: we are made as the filth of the world, and are the offscouring of all things unto this day.",0.030797878071697093,0.030797878071697093,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:12:2,1CO,1Corinthians,R0,INLIER,0.0691179124717451,Q3,"Yee know that yee were Gentiles, caryed away vnto these dumbe idoles, euen as ye were led.","Ye know that ye were Gentiles, carried away unto these dumb idols, even as ye were led.","yee know that yee were gentiles, caryed away vnto these dumbe idoles, euen as ye were led.","ye know that ye were gentiles, carried away unto these dumb idols, even as ye were led.",0.06911791247174515,0.06911791247174515,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:5:8,1CO,1Corinthians,R0,INLIER,0.0882133456510315,Q3,"Therefore let vs keepe the Feast, not with old leauen, neither with the leauen of malice and wickednesse: but with the vnleauened bread of sinceritie and trueth.","Therefore let us keep the feast, not with old leaven, neither with the leaven of malice and wickedness; but with the unleavened bread of sincerity and truth.","therefore let vs keepe the feast, not with old leauen, neither with the leauen of malice and wickednesse: but with the vnleauened bread of sinceritie and trueth.","therefore let us keep the feast, not with old leaven, neither with the leaven of malice and wickedness; but with the unleavened bread of sincerity and truth.",0.08821334565103156,0.08821334565103156,,R0,R1,0.0,
