representation,null_model,scope_type,scope_name,median_null,median_observed,sgi,sgi_norm
R0,WORK,WORK,1CH,0.45028065145015717,0.0819292113116305,0.36835144013852666,0.8180485636063368
R0,WORK,WORK,1CO,0.49505025148391724,0.04792351691674468,0.44712673456717256,0.9031946418104151
R0,WORK,WORK,1JN,0.41980278491973877,0.08074298700686466,0.3390597979128741,0.8076644798287802
R0,WORK,WORK,1KI,0.4691898822784424,0.06070674127055653,0.40848314100788585,0.870613703399235
R0,WORK,WORK,1PE,0.43229496479034424,0.05511734887761188,0.37717761591273236,0.8725005994359827
R0,WORK,WORK,1SA,0.45061011612415314,0.0654429415941209,0.38516717453003224,0.8547681482230862
R0,WORK,WORK,1TH,0.4398195743560791,0.06958958150512606,0.37022999285095304,0.8417769795557436
R0,WORK,WORK,1TI,0.476257860660553,0.04883181383949409,0.4274260468210589,0.8974677000149329
R0,WORK,WORK,2CH,0.4478021711111069,0.06473665559904501,0.38306551551206186,0.8554346991252465
R0,WORK,WORK,2CO,0.46363139152526855,0.05616683804415867,0.4074645534811099,0.8788545403291625
R0,WORK,WORK,2KI,0.4461819529533386,0.059807846315606095,0.38637410663773253,0.865956375152043
R0,WORK,WORK,2PE,0.4768638014793396,0.06666334750428193,0.41020045397505767,0.8602046385205228
R0,WORK,WORK,2SA,0.46074169874191284,0.07802694030987867,0.3827147584320342,0.8306492758894265
R0,WORK,WORK,2TH,0.44662439823150635,0.06854822066021093,0.3780761775712954,0.8465193103385293
R0,WORK,WORK,2TI,0.4818795323371887,0.05765182162348281,0.4242277107137059,0.8803605097235345
R0,WORK,WORK,ACT,0.48864179849624634,0.054692006677398486,0.43394979181884785,0.8880734172849959
R0,WORK,WORK,AMO,0.4526316672563553,0.05849756095268982,0.39413410630366547,0.8707612277610289
R0,WORK,WORK,COL,0.45360004901885986,0.048019912270228504,0.40558013674863136,0.8941360073172481
R0,WORK,WORK,DAN,0.4716780185699463,0.049481360093336146,0.42219665847661014,0.8950950475848846
R0,WORK,WORK,DEU,0.45204585790634155,0.0522215391599139,0.39982431874642765,0.884477341741878
R0,WORK,WORK,ECC,0.4998828321695328,0.07150933614493132,0.42837349602460145,0.8569478054795863
R0,WORK,WORK,EPH,0.44462329149246216,0.05743596089950953,0.3871873305929526,0.8708210703341365
R0,WORK,WORK,EST,0.4382634460926056,0.052476763686392425,0.38578668240621317,0.880262056636811
R0,WORK,WORK,EXO,0.4951075315475464,0.05166435828552185,0.44344317326202454,0.8956502274888937
R0,WORK,WORK,EZE,0.486453652381897,0.05226969370388279,0.4341839586780142,0.8925494886348437
R0,WORK,WORK,EZR,0.46126215159893036,0.06984769505440602,0.39141445654452434,0.8485726721512176
R0,WORK,WORK,GAL,0.4809844493865967,0.05863426824524842,0.42235018114134826,0.8780952932677446
R0,WORK,WORK,GEN,0.48884350061416626,0.06608136346918425,0.422762137144982,0.8648210247529897
R0,WORK,WORK,HAB,0.4849061965942383,0.05503171687069841,0.42987447972353987,0.8865105926523186
R0,WORK,WORK,HAG,0.45454370975494385,0.07046004938006295,0.3840836603748809,0.8449872963415339
R0,WORK,WORK,HEB,0.4711982011795044,0.05511672530311007,0.4160814758763943,0.883028574461571
R0,WORK,WORK,HOS,0.47870564460754395,0.052779998627914604,0.42592564597962934,0.8897443570543542
R0,WORK,WORK,ISA,0.48718468844890594,0.05629397074559894,0.430890717703307,0.8844504515837163
R0,WORK,WORK,JAS,0.48131193220615387,0.05795030251984257,0.4233616296863113,0.8795992813761752
R0,WORK,WORK,JDG,0.4538417011499405,0.057880563095976334,0.39596113805396416,0.8724653046440664
R0,WORK,WORK,JER,0.45960715413093567,0.0621951622231654,0.39741199190777027,0.8646775585102253
R0,WORK,WORK,JHN,0.4784407317638397,0.06796042197690433,0.4104803097869354,0.8579543557540376
R0,WORK,WORK,JOB,0.5329736173152924,0.05155904586169052,0.48141457145360184,0.9032615420601774
R0,WORK,WORK,JOE,0.5049054622650146,0.05819311630209245,0.4467123459629222,0.8847445301125539
R0,WORK,WORK,JON,0.459078311920166,0.1001872033039009,0.3588911086162651,0.7817644600006207
R0,WORK,WORK,JOS,0.4587138444185257,0.0680885098018254,0.3906253346167003,0.8515664817395349
R0,WORK,WORK,JUD,0.49802303314208984,0.06457264371899851,0.43345038942309133,0.8703420536363518
R0,WORK,WORK,LAM,0.5064012706279755,0.0549752501082309,0.45142602051974456,0.8914393519588577
R0,WORK,WORK,LEV,0.46527358889579773,0.04971811733256992,0.4155554715632278,0.893142188769918
R0,WORK,WORK,LUK,0.49889835715293884,0.06500957333113133,0.4338887838218075,0.8696937514444402
