representation,null_model,scope_type,scope_name,n_observed,iterations_used,observed_median,null_median,null_mean,null_std,null_min,null_max,p_value_perm
R0,WORK,WORK,1CH,942,5000,0.0819292113116305,0.45028065145015717,0.4502698232233524,0.0029643940791640316,0.43984323740005493,0.4599771201610565,0.0001999600079984003
R0,WORK,WORK,1CO,437,5000,0.04792351691674468,0.49505025148391724,0.4949457003474236,0.004205078331477958,0.47878849506378174,0.5090704560279846,0.0001999600079984003
R0,WORK,WORK,1JN,105,5000,0.08074298700686466,0.41980278491973877,0.41973760000467303,0.008721140348188263,0.3880947232246399,0.4465453624725342,0.0001999600079984003
R0,WORK,WORK,1KI,816,5000,0.06070674127055653,0.4691898822784424,0.46916389124393465,0.0034070663103095036,0.45395272970199585,0.48143869638442993,0.0001999600079984003
R0,WORK,WORK,1PE,105,5000,0.05511734887761188,0.43229496479034424,0.43253683013916017,0.007564620700050743,0.4059765934944153,0.46119368076324463,0.0001999600079984003
R0,WORK,WORK,1SA,810,5000,0.0654429415941209,0.45061011612415314,0.4505708093523979,0.003175593303452673,0.4399223029613495,0.46153756976127625,0.0001999600079984003
R0,WORK,WORK,1TH,89,5000,0.06958958150512606,0.4398195743560791,0.4400678307294846,0.00898221377946064,0.4083951711654663,0.47551703453063965,0.0001999600079984003
R0,WORK,WORK,1TI,113,5000,0.04883181383949409,0.476257860660553,0.4763979267120361,0.009715779636562344,0.4409295916557312,0.5124208927154541,0.0001999600079984003
R0,WORK,WORK,2CH,822,5000,0.06473665559904501,0.4478021711111069,0.44782369579672815,0.0029677587077038903,0.437237024307251,0.45764756202697754,0.0001999600079984003
R0,WORK,WORK,2CO,257,5000,0.05616683804415867,0.46363139152526855,0.46383691917657854,0.005290362532209179,0.444491982460022,0.48236382007598877,0.0001999600079984003
R0,WORK,WORK,2KI,719,5000,0.059807846315606095,0.4461819529533386,0.4461794797182083,0.003134711661649676,0.43435347080230713,0.45837467908859253,0.0001999600079984003
R0,WORK,WORK,2PE,61,5000,0.06666334750428193,0.4768638014793396,0.47670313127040864,0.013195628796267709,0.4335775375366211,0.5197947025299072,0.0001999600079984003
R0,WORK,WORK,2SA,695,5000,0.07802694030987867,0.46074169874191284,0.4607803017258644,0.0031797993578650146,0.44758784770965576,0.4709969162940979,0.0001999600079984003
R0,WORK,WORK,2TH,47,5000,0.06854822066021093,0.44662439823150635,0.4477962300658226,0.014513253126275655,0.3983590006828308,0.5017342567443848,0.0001999600079984003
R0,WORK,WORK,2TI,83,5000,0.05765182162348281,0.4818795323371887,0.4821601644515991,0.012477270792429258,0.42961961030960083,0.5331944227218628,0.0001999600079984003
