representation,null_model,scope_type,scope_name,n_observed,n_null,mwu_stat,mwu_p,ks_stat,ks_p,cliffs_delta,cliffs_delta_interpretation,mwu_p_fdr,ks_p_fdr
R0,WORK,WORK,1CH,942,100000,84824.0,0.0,0.9858174309978768,0.0,-0.9981990658174098,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,1CO,437,100000,5087.0,5.447905281109682e-286,0.9908333409610984,0.0,-0.9997671853546912,large; observed_lower_than_null,1.3273078321249042e-285,0.0
R0,WORK,WORK,1JN,105,100000,6108.0,1.5173198912267997e-70,0.9869161904761904,3.615117001305958e-198,-0.9988365714285714,large; observed_lower_than_null,2.0747027084121545e-70,4.657939213221138e-198
R0,WORK,WORK,1KI,816,100000,5748.0,0.0,0.99521,0.0,-0.9998591176470588,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,1PE,105,100000,138.0,1.0599344051048499e-70,0.99934,0.0,-0.9999737142857142,large; observed_lower_than_null,1.480826676338924e-70,0.0
R0,WORK,WORK,1SA,810,100000,24330.0,0.0,0.9856625925925926,0.0,-0.9993992592592592,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,1TH,89,100000,81639.0,3.749408977706323e-58,0.9754380898876404,1.0823313760688805e-143,-0.9816541573033708,large; observed_lower_than_null,4.8309692597369936e-58,1.2187597007834452e-143
R0,WORK,WORK,1TI,113,100000,544.0,6.605495616557522e-76,0.99735,1.342189232772908e-291,-0.9999037168141592,large; observed_lower_than_null,9.834849029096755e-76,1.9133335871443584e-291
R0,WORK,WORK,2CH,822,100000,3836.0,0.0,0.9947334549878344,0.0,-0.9999066666666668,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,2CO,257,100000,2245.0,1.683148801659021e-169,0.9958,0.0,-0.9998252918287938,large; observed_lower_than_null,3.222027706032983e-169,0.0
R0,WORK,WORK,2KI,719,100000,10785.0,0.0,0.993897538247566,0.0,-0.9997,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,2PE,61,100000,303.0,5.782236929848944e-42,0.99866,1.1335030574781313e-175,-0.9999006557377048,large; observed_lower_than_null,6.98035809549332e-42,1.419527193477286e-175
R0,WORK,WORK,2SA,695,100000,10127.0,0.0,0.99115345323741,0.0,-0.9997085755395684,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,2TH,47,100000,3541.0,1.0306541135453562e-32,0.9767834042553192,3.1157409742827188e-77,-0.9984931914893616,large; observed_lower_than_null,1.1144431774077005e-32,3.287474728770743e-77
R0,WORK,WORK,2TI,83,100000,43885.0,3.296956937049853e-55,0.9879518072289156,1.0412339700764474e-159,-0.9894253012048192,large; observed_lower_than_null,4.090668792265558e-55,1.2239065964056487e-159
R0,WORK,WORK,ACT,1007,100000,6513.0,0.0,0.9945208540218472,0.0,-0.9998706454816286,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,AMO,146,100000,4644.0,2.6896998323972094e-97,0.98986,1.5225495149979048e-291,-0.9993638356164384,large; observed_lower_than_null,4.1909276458282097e-97,2.147596157997045e-291
R0,WORK,WORK,COL,95,100000,6416.0,5.1532660862508095e-64,0.9822736842105264,8.313535847297467e-167,-0.9986492631578948,large; observed_lower_than_null,6.824281005737201e-64,1.031494262535056e-166
