rank_overall,rank_within_representation,rank_within_classification,rank_within_work,unit_key,work_code,work_name,representation,classification,drift_value,threshold_primary,threshold_secondary,threshold_source,excess_over_primary,excess_over_secondary,drift_to_primary_ratio,drift_to_secondary_ratio,small_sample_flag,mad_zero_flag
1,1,1,1,MRK:14:17,MRK,Mark,R0,STRONG_OUTLIER,0.5350452401879036,0.2485395579355932,0.180716099125319,WORK,0.2865056822523103,0.35432914106258456,2.152756867486486,2.960694939618369,False,False
2,1,1,1,MRK:14:17,MRK,Mark,R1,STRONG_OUTLIER,0.5350452401879036,0.2485395579355932,0.180716099125319,WORK,0.2865056822523103,0.35432914106258456,2.152756867486486,2.960694939618369,False,False
3,2,2,1,1TH:5:16,1TH,1Thessalonians,R0,STRONG_OUTLIER,0.5123821549303869,0.3114588778178616,0.1777962178538115,WORK,0.20092327711252528,0.33458593707657536,1.6451037084581788,2.881850700287001,False,False
4,2,2,1,1TH:5:16,1TH,1Thessalonians,R1,STRONG_OUTLIER,0.5123821549303869,0.3114588778178616,0.1777962178538115,WORK,0.20092327711252528,0.33458593707657536,1.6451037084581788,2.881850700287001,False,False
5,3,3,1,LEV:11:15,LEV,Leviticus,R0,STRONG_OUTLIER,0.5034481012215494,0.2536937138059426,0.1520578598094974,WORK,0.2497543874156068,0.351390241412052,1.984472116666836,3.3108982452619293,False,False
6,3,3,1,LEV:11:15,LEV,Leviticus,R1,STRONG_OUTLIER,0.5034481012215494,0.2536937138059426,0.1520578598094974,WORK,0.2497543874156068,0.351390241412052,1.984472116666836,3.3108982452619293,False,False
7,4,4,1,MAT:27:14,MAT,Matthew,R0,STRONG_OUTLIER,0.4950398511801868,0.2574919331800241,0.1896752365333116,WORK,0.23754791800016267,0.3053646146468752,1.9225450873992325,2.609934012620808,False,False
8,4,4,1,MAT:27:14,MAT,Matthew,R1,STRONG_OUTLIER,0.4950398511801868,0.2574919331800241,0.1896752365333116,WORK,0.23754791800016267,0.3053646146468752,1.9225450873992325,2.609934012620808,False,False
9,5,5,1,DEU:14:14,DEU,Deuteronomy,R0,STRONG_OUTLIER,0.491772650434773,0.2277736606676687,0.158268997269363,WORK,0.2639989897671043,0.33350365316541,2.1590409048756953,3.1071950850728496,False,False
10,5,5,1,DEU:14:14,DEU,Deuteronomy,R1,STRONG_OUTLIER,0.491772650434773,0.2277736606676687,0.158268997269363,WORK,0.2639989897671043,0.33350365316541,2.1590409048756953,3.1071950850728496,False,False
