unit_key,work_code,division_level_1,division_level_2,drift_r0,drift_r1,drift_r2,delta_representation_left,delta_representation_right,delta_value,text_raw_left,text_raw_right,text_norm_left,text_norm_right,drift_label_r0,drift_label_r1,drift_label_r2,residual_class,character_diff_summary,token_diff_summary,phrase_diff_summary,category_labels
MRK:14:17,MRK,14,17,0.5350452401879036,0.5350452401879036,,R0,R1,0.0,And in the euening hee commeth with the twelue.,And in the evening he cometh with the twelve.,and in the euening hee commeth with the twelue.,and in the evening he cometh with the twelve.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:2, delete:2, insert:0}; examples=replace: [u] -> [v] | delete: [e] -> [] | delete: [m] -> [] | replace: [u] -> [v]","ops={replace:2, delete:0, insert:0}; examples=replace: [euening hee commeth] -> [evening he cometh] | replace: [twelue.] -> [twelve.]","ops={replace:1, delete:0, insert:0}; examples=replace: [And in the euening hee commeth with the twelue] -> [And in the evening he cometh with the twelve]",
1TH:5:16,1TH,5,16,0.5123821549303869,0.5123821549303869,,R0,R1,0.0,Reioyce euermore:,Rejoice evermore.,reioyce euermore:,rejoice evermore.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:2, delete:1, insert:1}; examples=insert: [] -> [j o] | delete: [o y] -> [] | replace: [u] -> [v] | replace: [:] -> [.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Reioyce euermore:] -> [Rejoice evermore.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Reioyce euermore] -> [Rejoice evermore]",
LEV:11:15,LEV,11,15,0.5034481012215494,0.5034481012215494,,R0,R1,0.0,Euery Rauen after his kinde:,Every raven after his kind;,euery rauen after his kinde:,every raven after his kind;,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:4, delete:0, insert:0}; examples=replace: [u] -> [v] | replace: [R] -> [r] | replace: [u] -> [v] | replace: [e :] -> [;]","ops={replace:2, delete:0, insert:0}; examples=replace: [Euery Rauen] -> [Every raven] | replace: [kinde:] -> [kind;]","ops={replace:1, delete:0, insert:0}; examples=replace: [Euery Rauen after his kinde] -> [Every raven after his kind]",
MAT:27:14,MAT,27,14,0.4950398511801868,0.4950398511801868,,R0,R1,0.0,And he answered him to neuer a word: insomuch that the Gouernour marueiled greatly.,And he answered him to never a word; insomuch that the governor marvelled greatly.,and he answered him to neuer a word: insomuch that the gouernour marueiled greatly.,and he answered him to never a word; insomuch that the governor marvelled greatly.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:6, delete:1, insert:0}; examples=replace: [u] -> [v] | replace: [:] -> [;] | replace: [G] -> [g] | replace: [u] -> [v] | delete: [u] -> [] | replace: [u] -> [v] | replace: [i] -> [l]","ops={replace:3, delete:0, insert:0}; examples=replace: [neuer] -> [never] | replace: [word:] -> [word;] | replace: [Gouernour marueiled] -> [governor marvelled]","ops={replace:1, delete:0, insert:0}; examples=replace: [And he answered him to neuer a word insomuch that the Gouernour marueiled greatly] -> [And he answered him to never a word insomuch that the governor marvelled greatly]",
DEU:14:14,DEU,14,14,0.49177265043477303,0.49177265043477303,,R0,R1,0.0,"And euery rauen after his kinde,","And every raven after his kind,","and euery rauen after his kinde,","and every raven after his kind,",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:2, delete:1, insert:0}; examples=replace: [u] -> [v] | replace: [u] -> [v] | delete: [e] -> []","ops={replace:2, delete:0, insert:0}; examples=replace: [euery rauen] -> [every raven] | replace: [kinde,] -> [kind,]","ops={replace:1, delete:0, insert:0}; examples=replace: [And euery rauen after his kinde] -> [And every raven after his kind]",
2TI:3:7,2TI,3,7,0.4668320700103119,0.4668320700103119,,R0,R1,0.0,"Euer learning, and neuer able to come to the knowledge of the trueth.","Ever learning, and never able to come to the knowledge of the truth.","euer learning, and neuer able to come to the knowledge of the trueth.","ever learning, and never able to come to the knowledge of the truth.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:2, delete:1, insert:0}; examples=replace: [u] -> [v] | replace: [u] -> [v] | delete: [e] -> []","ops={replace:3, delete:0, insert:0}; examples=replace: [Euer] -> [Ever] | replace: [neuer] -> [never] | replace: [trueth.] -> [truth.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Euer learning and neuer able to come to the knowledge of the trueth] -> [Ever learning and never able to come to the knowledge of the truth]",
LUK:19:1,LUK,19,1,0.46528417106164954,0.46528417106164954,,R0,R1,0.0,"And Iesus entred, and passed thorow Iericho.",And Jesus entered and passed through Jericho.,"and iesus entred, and passed thorow iericho.",and jesus entered and passed through jericho.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:3, delete:2, insert:1}; examples=replace: [I] -> [J] | insert: [] -> [e] | delete: [,] -> [] | delete: [o] -> [] | replace: [w] -> [u g h] | replace: [I] -> [J]","ops={replace:2, delete:0, insert:0}; examples=replace: [Iesus entred,] -> [Jesus entered] | replace: [thorow Iericho.] -> [through Jericho.]","ops={replace:1, delete:0, insert:0}; examples=replace: [And Iesus entred and passed thorow Iericho] -> [And Jesus entered and passed through Jericho]",
JHN:2:13,JHN,2,13,0.43075788985716024,0.43075788985716024,,R0,R1,0.0,"¶ And the Iewes Passeouer was at hand, & Iesus went vp to Hierusalem","And the Jews’ passover was at hand, and Jesus went up to Jerusalem,","¶ and the iewes passeouer was at hand, & iesus went vp to hierusalem","and the jews’ passover was at hand, and jesus went up to jerusalem,",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:7, delete:3, insert:2}; examples=delete: [¶  ] -> [] | replace: [I] -> [J] | delete: [e] -> [] | insert: [] -> [’] | replace: [P] -> [p] | delete: [e] -> [] | replace: [u] -> [v] | replace: [&] -> [a n d]","ops={replace:4, delete:1, insert:0}; examples=delete: [¶] -> [] | replace: [Iewes Passeouer] -> [Jews’ passover] | replace: [& Iesus] -> [and Jesus] | replace: [vp] -> [up] | replace: [Hierusalem] -> [Jerusalem,]","ops={replace:1, delete:0, insert:0}; examples=replace: [¶ And the Iewes Passeouer was at hand & Iesus went vp to Hierusalem] -> [And the Jews’ passover was at hand and Jesus went up to Jerusalem]",
LAM:5:8,LAM,5,8,0.419691661490041,0.419691661490041,,R0,R1,0.0,Seruants haue ruled ouer vs: there is none that doeth deliuer vs out of their hand.,Servants have ruled over us: there is none that doth deliver us out of their hand.,seruants haue ruled ouer vs: there is none that doeth deliuer vs out of their hand.,servants have ruled over us: there is none that doth deliver us out of their hand.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:6, delete:1, insert:0}; examples=replace: [u] -> [v] | replace: [u] -> [v] | replace: [u] -> [v] | replace: [v] -> [u] | delete: [e] -> [] | replace: [u] -> [v] | replace: [v] -> [u]","ops={replace:3, delete:0, insert:0}; examples=replace: [Seruants haue] -> [Servants have] | replace: [ouer vs:] -> [over us:] | replace: [doeth deliuer vs] -> [doth deliver us]","ops={replace:1, delete:0, insert:0}; examples=replace: [Seruants haue ruled ouer vs there is none that doeth deliuer vs out of their hand] -> [Servants have ruled over us there is none that doth deliver us out of their hand]",
1CH:23:27,1CH,23,27,0.4119994843706315,0.4119994843706315,,R0,R1,0.0,"For by the last words of Dauid, the Leuites were numbred from twentie yeeres olde, and aboue:",For by the last words of David the Levites were numbered from twenty years old and above:,"for by the last words of dauid, the leuites were numbred from twentie yeeres olde, and aboue:",for by the last words of david the levites were numbered from twenty years old and above:,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:5, delete:3, insert:1}; examples=replace: [u] -> [v] | delete: [,] -> [] | replace: [u] -> [v] | insert: [] -> [e] | replace: [i e] -> [y] | replace: [e] -> [a] | delete: [e] -> [] | delete: [e ,] -> []","ops={replace:5, delete:0, insert:0}; examples=replace: [Dauid,] -> [David] | replace: [Leuites] -> [Levites] | replace: [numbred] -> [numbered] | replace: [twentie yeeres olde,] -> [twenty years old] | replace: [aboue:] -> [above:]","ops={replace:1, delete:0, insert:0}; examples=replace: [For by the last words of Dauid the Leuites were numbred from twentie yeeres olde and aboue] -> [For by the last words of David the Levites were numbered from twenty years old and above]",
